n rundy root
9500 123 667
9500 108 3453
9500 107 5513
9600 128 3676
9600 86 7323
9600 92 4227
9600 101 2647
9600 135 6707
9600 151 8275
9600 113 1252
9600 124 3360
9600 116 197
9600 114 3046
9600 96 5539
9600 88 4827
9600 94 6475
9600 115 1451
9600 91 1707
9600 110 7024
9700 98 5077
9700 102 781
9700 92 1593
9700 84 7608
9700 119 2636
9700 111 7850
9700 114 9483
9700 118 998
9700 100 8870
9700 112 3491
9700 140 104
9700 120 8519
9700 116 8970
9700 91 9638
9700 107 7960
9700 126 9122
9800 128 4418
9800 98 6320
9800 120 1519
9800 130 6554
9800 128 8954
9800 87 8005
9800 94 1763
9800 144 7128
9800 134 2068
9800 81 4570
9800 132 9460
9800 102 238
9800 94 4370
9800 96 8388
9800 131 3784
9800 113 4079
9900 110 1979
9900 137 3076
9900 111 1055
9900 108 8683
9900 117 3693
9900 113 4761
9900 100 6861
9900 119 8173
9900 108 3903
9900 118 928
9900 124 9466
9900 101 7316
9900 116 8373
9900 112 2539
9900 127 9408
9900 123 6705
10000 98 5818
10000 89 9974
10000 91 1360
10000 94 6148
10000 83 5715
10000 85 9664
10000 96 1355
10000 101 8936
10000 102 4965
10000 107 7807
10000 97 5958
10000 95 2347
10000 124 1752
10000 109 3289
10000 107 4745
10000 92 4240
