-1  25  15  15
 1.894128119  12  8  14  M
 1.930178610  12  9  14  M
 1.982622497  12  9  0  M
 1.997753872  12  9  1  M
 2.029434433  12  8  1  M
 2.058320846  12  9  1  M
 2.107606213  12  10  1  M
 2.124941235  12  10  2  M
 2.169422261  12  9  2  M
 2.190610673  12  10  2  M
 2.234948297  12  10  1  M
 2.286645015  12  9  1  M
 2.304730794  12  10  1  M
 2.344887398  12  9  1  M
 2.366223618  12  8  1  M
 2.400695824  12  8  0  M
 2.435750119  12  8  14  M
 2.447519078  12  8  0  M
 2.506920692  12  8  14  M
 2.526586475  12  8  0  M
 2.574158386  12  8  1  M
 2.617416250  12  9  1  M
 2.654451685  12  9  2  M
 2.712400451  12  8  2  M
 2.766056641  12  9  2  M
 2.777019708  12  10  2  M
 2.818910766  12  9  2  M
 2.852358861  12  9  3  M
 2.865366050  12  9  2  M
 2.903920230  12  9  3  M
 2.927345202  12  9  4  M
 2.948168373  12  9  5  M
 2.990907455  12  10  5  M
 3.004729774  12  10  4  M
 3.015667094  12  10  5  M
 3.033093534  12  11  5  M
 3.067861251  12  11  4  M
 3.084184758  12  12  4  M
 3.142489810  12  13  4  M
 0.001719956  10  6  4  K
 0.038258815  10  7  4  K
 0.097146367  10  8  4  K
 0.153304579  10  8  5  K
 0.164124109  10  9  5  K
 0.213170752  10  9  6  K
 0.225496681  10  8  6  K
 0.254884070  10  8  5  K
 0.308576970  10  8  6  K
 0.347825068  10  9  6  K
 0.364726710  10  8  6  K
 0.424682322  10  9  6  K
 0.452107802  10  10  6  K
 0.464434054  10  10  7  K
 0.477643297  10  10  8  K
 0.529936070  10  10  7  K
 0.565281105  10  11  7  K
 0.622719385  10  10  7  K
 0.681270359  10  10  6  K
 0.706070161  10  9  6  K
 0.753586833  10  10  6  K
 0.773145661  10  10  7  K
 0.821286248  10  9  7  K
 0.849816038  10  10  7  K
 0.878981434  10  10  6  K
 0.918541229  10  10  5  K
 0.965984352  10  10  6  K
 1.001045623  10  10  5  K
 1.030856947  10  10  6  K
